Question,Answer,Keywords,Cluster,subtopic,topic ,Macro-topic
What is the aim of the model presented in the paper?,The aim of the model is to output the quantity of solar energy delivered for a given set of orbital elements of the orbit and the initial solar power farm position in latitude and longitude.,"aim, model, paper, presented, solar, longitude, output, quantity, energy, delivered, ",24,model presented,Sun-Synchronous Orbits,Solar energy
What assumptions are made regarding the shape of the reflector and solar power farm?,"The reflector is assumed to be flat, and the solar power farm is assumed to be a circular disk.","power, reflector, solar, farm, assumed, assumptions, made, shape, flat, disk, ",24,solar power,Sun-Synchronous Orbits,Solar energy
What are the reference frames used in this paper?,The reference frames used in this paper are the Earth-centered inertial (PCI) frame and the Earth-centered co-rotating (ECR) frame.,"reference, Earth-centered, paper, PCI, ECR, frames, inertial, co-rotating, ",14,reference frames,Solar technology adoption ,Solar energy
How is the position in the peri focal frame projected into the PCI frame?,The position in the peri focal frame is projected into the PCI frame by a 3Ã¢â‚¬â€œ1-3 rotation sequence.,"PCI, frame, position, peri, focal, projected, sequence, ",24,PCI frame,Sun-Synchronous Orbits,Solar energy
What is the origin of East-North-Up (END) (or Homocentric horizon frame)?,The origin of East-North-Up (END) (or Homocentric horizon frame) is centred at the geographical coordinates of the solar power farm (with a spherical Earth assumption) with latitude and longitude k.,"END, Homocentric, frame, origin, Earth, farm, assumption, centred, geographical, coordinates, ",24,Homocentric horizon,Sun-Synchronous Orbits,Solar energy
How is position of the solar reflector in the peri focal frame expressed?,The position of the solar reflector in the peri focal frame is expressed in EQ. (1).,"solar, reflector, peri, focal, position, frame, expressed, ",24,solar reflector,Sun-Synchronous Orbits,Solar energy
What is the mean motion in the propagation of argument of latitude?,The mean motion in the propagation of argument of latitude is found by using EQ. (8) and is equal to 2Ãâ‚¬(RE + h)3/l.,"motion, propagation, argument, latitude, found, equal, ",24,motion,Sun-Synchronous Orbits,Solar energy
What is the effect of Earths oblateness on the orbit period?,The effect of Earth's oblateness on the orbit period is given by the variation of the orbit period which is a result of the J 2 effect.,"orbit, effect, period, oblateness, Earths, variation, result, ",24,orbit period,Sun-Synchronous Orbits,Solar energy
What is the J 2 corrected mean motion?,The J 2 corrected mean motion is the time rate of change of X and x expressed for circular orbits as 2Ãâ‚¬/TJ2 where TJ2 is the variation of the orbit period as a result of the J 2 effect.,"corrected, motion, effect, time, rate, change, expressed, circular, variation, period, ",24,corrected,Sun-Synchronous Orbits,Solar energy
What are the initial values of the right ascension of the ascending node and the argument of periapsis?,X0 denotes the initial values of the right ascension of the ascending node and the argument of periapsis.,"periapsis, initial, ascension, node, argument, denotes, ",24,ascending node,Sun-Synchronous Orbits,Solar energy
What is the purpose of relationships derived in this and the previous sections?,The relationships derived in this and the previous sections are used to define the projected image of the solar disk.,"derived, previous, relationships, sections, purpose, disk, projected, image, solar, ",24,relationships derived,Sun-Synchronous Orbits,Solar energy
How does the time-dependent size of the solar image affect its shape?,"The time-dependent size of the solar image affects its shape by making it an elliptical as a function of the slant range, elevation from the local horizon, and the angle subtended by the Sun.","time-dependent, size, solar, image, shape, affect, Sun, range, elevation, horizon, ",24,time-dependent size,Sun-Synchronous Orbits,Solar energy
What happens when the maximum elevation reaches 90 degrees?,"When the maximum elevation reaches 90 degrees, the solar image will become circular.","degrees, reaches, maximum, elevation, circular, solar, image, ",24,elevation reaches,Sun-Synchronous Orbits,Solar energy
What is the equation to calculate the magnitude of the slant range?,The equation to calculate the magnitude of the slant range is d = Ã¢Ë†Å¡x2ENU + y2ENU + z2ENU.,"equation, calculate, magnitude, slant, range, ",24,slant range,Sun-Synchronous Orbits,Solar energy
What is the form of the equation to calculate the slant range for a polar orbit and non-rotating Earth?,The form of the equation to calculate the slant range for a polar orbit and non-rotating Earth is d = (RE+h)2 - 2RE (RE+h)cos (h) + R2E.,"Earth, form, equation, calculate, slant, range, polar, orbit, non-rotating, cos, ",24,non-rotating Earth,Sun-Synchronous Orbits,Solar energy
"What is the initial right ascension of the ascending node for the solar synchronous orbit at 1,000 km altitude?",The initial right ascension of the ascending node is 90deg.,"initial, ascension, node, altitude, solar, synchronous, orbit, ",24,ascending node,Sun-Synchronous Orbits,Solar energy
"What is the orbit inclination of the solar synchronous orbit at 1,000 km altitude?","The orbit inclination of the solar synchronous orbit at 1,000 km altitude is 99.48deg.","orbit, inclination, solar, synchronous, altitude, ",24,solar synchronous,Sun-Synchronous Orbits,Solar energy
What is the minimum possible slant range for this particular orbit?,"The minimum possible slant range is 1,000 km for this orbit.","minimum, slant, orbit, range, ",24,slant range,Sun-Synchronous Orbits,Solar energy
